Temperature;<-14;-13;-12;-11;-10;-9;-8;-7;-6;-5;-4;-3;-2;-1;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;>=18
03:15-03:30;1.276558437;1.237874848;1.199191259;1.160507670;1.121824081;1.083140492;1.044456903;1.005773314;0.959353007;0.928406136;0.897459265;0.866512394;0.835565522;0.804618651;0.773671780;0.735354187;0.697036594;0.658719001;0.620287344;0.581855687;0.543424030;0.504992373;0.466560716;0.428129059;0.386390025;0.344650992;0.302911959;0.261172926;0.219433893;0.177694860;0.131311215;0.084927571;0.038543926
03:30-03:45;1.275949729;1.237284586;1.198619442;1.159954299;1.121289156;1.082624012;1.043958869;1.005293726;0.958895554;0.927963439;0.897031325;0.866099210;0.835167095;0.804234981;0.773302866;0.734963572;0.696624278;0.658284984;0.620616273;0.582947562;0.545278852;0.507610141;0.469941430;0.432272719;0.390502125;0.348731531;0.306960937;0.265190343;0.223419749;0.181649155;0.134745691;0.087842227;0.040938763
03:45-04:00;1.273904537;1.235301370;1.196698202;1.158095034;1.119491866;1.080888698;1.042285531;1.003682363;0.957358561;0.926476027;0.895593493;0.864710959;0.833828424;0.802945890;0.772063356;0.733651150;0.695238943;0.656826737;0.619440476;0.582054215;0.544667954;0.507281694;0.469895433;0.432509172;0.390780025;0.349050879;0.307321733;0.265592587;0.223863441;0.182134295;0.135728336;0.089322377;0.042916418
04:00-04:15;1.272988099;1.234412702;1.195837305;1.157261909;1.118686512;1.080111115;1.041535718;1.002960321;0.956669844;0.925809527;0.894949209;0.864088892;0.833228574;0.802368257;0.771507939;0.733063061;0.694618184;0.656173306;0.619399598;0.582625890;0.545852183;0.509078475;0.472304767;0.435531060;0.393425455;0.351319850;0.309214245;0.267108640;0.225003035;0.182897430;0.136404861;0.089912292;0.043419723
04:15-04:30;1.271007486;1.232492107;1.193976729;1.155461351;1.116945972;1.078430594;1.039915215;1.001399837;0.955181383;0.924369080;0.893556778;0.862744475;0.831932172;0.801119870;0.770307567;0.731792079;0.693276591;0.654761103;0.618581830;0.582402557;0.546223284;0.510044011;0.473864738;0.437685465;0.395265401;0.352845337;0.310425272;0.268005208;0.225585144;0.183165080;0.136749325;0.090333570;0.043917815
04:30-04:45;1.272568049;1.234005381;1.195442713;1.156880045;1.118317376;1.079754708;1.041192040;1.002629372;0.956354170;0.925504036;0.894653901;0.863803767;0.832953632;0.802103498;0.771253363;0.732793510;0.694333657;0.655873804;0.619168882;0.582463960;0.545759038;0.509054116;0.472349194;0.435644272;0.393557175;0.351470078;0.309382981;0.267295884;0.225208787;0.183121691;0.136918937;0.090716184;0.044513430
04:45-05:00;1.275090115;1.236451021;1.197811926;1.159172832;1.120533738;1.081894643;1.043255549;1.004616454;0.958249541;0.927338266;0.896426990;0.865515715;0.834604439;0.803693164;0.772781888;0.734411948;0.696042008;0.657672069;0.620308533;0.582944997;0.545581461;0.508217925;0.470854389;0.433490853;0.391829256;0.350167658;0.308506061;0.266844463;0.225182866;0.183521268;0.137372091;0.091222913;0.045073735
05:00-05:15;1.275633437;1.236977878;1.198322320;1.159666761;1.121011202;1.082355644;1.043700085;1.005044526;0.958657856;0.927733409;0.896808962;0.865884515;0.834960068;0.804035621;0.773111174;0.734760604;0.696410035;0.658059465;0.620892140;0.583724814;0.546557489;0.509390163;0.472222838;0.435055513;0.392955342;0.350855172;0.308755002;0.266654832;0.224554661;0.182454491;0.136482966;0.090511441;0.044539917
05:15-05:30;1.273305665;1.234720645;1.196135625;1.157550605;1.118965584;1.080380564;1.041795544;1.003210524;0.956908500;0.926040484;0.895172467;0.864304451;0.833436435;0.802568419;0.771700403;0.733266846;0.694833290;0.656399733;0.619733345;0.583066957;0.546400568;0.509734180;0.473067792;0.436401403;0.393978096;0.351554788;0.309131481;0.266708173;0.224284866;0.181861558;0.136235398;0.090609239;0.044983079
05:30-05:45;1.277138001;1.238436850;1.199735698;1.161034547;1.122333395;1.083632243;1.044931092;1.006229940;0.959788558;0.928827637;0.897866716;0.866905795;0.835944873;0.804983952;0.774023031;0.735726100;0.697429169;0.659132237;0.621934415;0.584736593;0.547538771;0.510340949;0.473143127;0.435945305;0.393293844;0.350642383;0.307990922;0.265339461;0.222688000;0.180036539;0.135711140;0.091385742;0.047060343
05:45-06:00;1.278495888;1.239753589;1.201011289;1.162268990;1.123526690;1.084784390;1.046042091;1.007299791;0.960809031;0.929815192;0.898821352;0.867827512;0.836833672;0.805839833;0.774845993;0.736597471;0.698348949;0.660100428;0.622718385;0.585336341;0.547954298;0.510572255;0.473190212;0.435808169;0.393019172;0.350230174;0.307441177;0.264652180;0.221863183;0.179074185;0.135148244;0.091222303;0.047296362
06:00-06:15;1.279216656;1.240452515;1.201688374;1.162924233;1.124160092;1.085395951;1.046631810;1.007867669;0.961350699;0.930339386;0.899328074;0.868316761;0.837305448;0.806294135;0.775282822;0.737059996;0.698837170;0.660614344;0.623128581;0.585642818;0.548157054;0.510671291;0.473185528;0.435699764;0.392823126;0.349946487;0.307069849;0.264193210;0.221316571;0.178439933;0.134621868;0.090803803;0.046985739
06:15-06:30;1.285753105;1.246790890;1.207828674;1.168866459;1.129904244;1.090942028;1.051979813;1.013017598;0.966262939;0.935093167;0.903923395;0.872753623;0.841583850;0.810414078;0.779244306;0.741254509;0.703264712;0.665274914;0.626815870;0.588356825;0.549897781;0.511438736;0.472979692;0.434520647;0.391718265;0.348915884;0.306113502;0.263311120;0.220508738;0.177706356;0.134224010;0.090741663;0.047259317
06:30-06:45;1.285004325;1.246064800;1.207125275;1.168185750;1.129246225;1.090306700;1.051367175;1.012427650;0.965700220;0.934548600;0.903396980;0.872245360;0.841093740;0.809942120;0.778790500;0.740774008;0.702757516;0.664741024;0.625748108;0.586755192;0.547762275;0.508769359;0.469776442;0.430783526;0.388030523;0.345277521;0.302524518;0.259771515;0.217018513;0.174265510;0.132603814;0.090942117;0.049280421
